fullname,motivation,surname,firstname,share,born,year,age,born_city,died,is_alive,category,born_country,gender,born_country_code,affiliation_city,affiliation,affiliation_country
John Warcup Cornforth,for his work on the stereochemistry of enzyme-catalyzed reactions,Cornforth,John Warcup,2,9/7/1917,1975,57,Sydney,12/8/2013,FALSE,chemistry,Australia,male,AU,Brighton,University of Sussex,United Kingdom
Vladimir Prelog,for his research into the stereochemistry of organic molecules and reactions,Prelog,Vladimir,2,7/23/1906,1975,68,Sarajevo,1/7/1998,FALSE,chemistry,Austria-Hungary (now Bosnia and Herzegovina),male,BA,Zurich,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Switzerland
Leonid Vitaliyevich Kantorovich,for their contributions to the theory of optimum allocation of resources,Kantorovich,Leonid Vitaliyevich,2,1/19/1912,1975,62,St. Petersburg,4/7/1986,FALSE,economics,Russian Empire (now Russia),male,RU,Moscow,Academy of Sciences,USSR
Tjalling C. Koopmans,for their contributions to the theory of optimum allocation of resources,Koopmans,Tjalling C.,2,8/28/1910,1975,64,'s Graveland,2/26/1985,FALSE,economics,the Netherlands,male,NL,"New Haven, CT",Yale University,USA
Eugenio Montale,"for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions",Montale,Eugenio,1,1896-10-12,1975,78,Genoa,9/12/1981,FALSE,literature,Italy,male,IT,,none,
Howard Martin Temin,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell,Temin,Howard Martin,3,12/10/1934,1975,40,"Philadelphia, PA",2/9/1994,FALSE,medicine,USA,male,US,"Madison, WI",University of Wisconsin,USA
Renato Dulbecco,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell,Dulbecco,Renato,3,2/22/1914,1975,60,Catanzaro,2/19/2012,FALSE,medicine,Italy,male,IT,London,Imperial Cancer Research Fund Laboratory,United Kingdom
David Baltimore,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell,Baltimore,David,3,3/7/1938,1975,36,"New York, NY",0000-00-00,TRUE,medicine,USA,male,US,"Cambridge, MA",MIT,USA
Andrei Dmitrievich Sakharov,,Sakharov,Andrei Dmitrievich,1,5/21/1921,1975,53,Moscow,12/14/1989,FALSE,peace,Russia,male,RU,,none,
Aage Niels Bohr,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Bohr,Aage Niels,3,6/19/1922,1975,52,Copenhagen,9/8/2009,FALSE,physics,Denmark,male,DK,Copenhagen,Niels Bohr Institute,Denmark
Ben Roy Mottelson,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Mottelson,Ben Roy,3,7/9/1926,1975,48,"Chicago, IL",0000-00-00,TRUE,physics,USA,male,US,Copenhagen,Nordita,Denmark
Leo James Rainwater,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Rainwater,Leo James,3,12/9/1917,1975,57,"Council, ID",3/31/1986,FALSE,physics,USA,male,US,"New York, NY",Columbia,USA
William N. Lipscomb,for his studies on the structure of boranes illuminating problems of chemical bonding,Lipscomb,William N.,1,12/9/1919,1976,56,"Cleveland, OH",4/14/2011,FALSE,chemistry,USA,male,US,"Cambridge, MA",Harvard,USA
Milton Friedman,"for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilization policy",Friedman,Milton,1,7/31/1912,1976,63,"Brooklyn, NY",11/16/2006,FALSE,economics,USA,male,US,"Chicago, IL",University of Chicago,USA
Saul Bellow,for the human understanding and subtle analysis of contemporary culture that are combined in his work,Bellow,Saul,1,6/10/1915,1976,60,Montreal,4/5/2005,FALSE,literature,Canada,male,CA,,none,
Baruch S. Blumberg,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases,Blumberg,Baruch S.,2,7/28/1925,1976,50,"New York, NY",4/5/2011,FALSE,medicine,USA,male,US,"Philadelphia, PA",The Institute for Cancer Research,USA
D. Carleton Gajdusek,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases,Gajdusek,D. Carleton,2,9/9/1923,1976,52,"Yonkers, NY",12/12/2008,FALSE,medicine,USA,male,US,"Bethesda, MD",National Institutes of Health,USA
Mairead Corrigan,,Corrigan,Mairead,2,1/27/1944,1976,31,Belfast,0000-00-00,TRUE,peace,Northern Ireland,female,GB,,none,
Betty Williams,,Williams,Betty,2,5/22/1943,1976,32,Belfast,0000-00-00,TRUE,peace,Northern Ireland,female,GB,,none,
Samuel Chao Chung Ting,for their pioneering work in the discovery of a heavy elementary particle of a new kind,Ting,Samuel Chao Chung,2,1/27/1936,1976,39,"Ann Arbor, MI",0000-00-00,TRUE,physics,USA,male,US,"Cambridge, MA",MIT,USA
Burton Richter,for their pioneering work in the discovery of a heavy elementary particle of a new kind,Richter,Burton,2,3/22/1931,1976,44,"Brooklyn, NY",0000-00-00,TRUE,physics,USA,male,US,"Stanford, CA",Stanford,USA
Ilya Prigogine,"for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures",Prigogine,Ilya,1,1/25/1917,1977,59,Moscow,5/28/2003,FALSE,chemistry,Russia,male,RU,"Austin, TX",University of Texas,USA
James E. Meade,for their pathbreaking contribution to the theory of international trade and international capital movements,Meade,James E.,2,6/23/1907,1977,69,Swanage,12/22/1995,FALSE,economics,United Kingdom,male,GB,Cambridge,Cambridge,United Kingdom
Bertil Ohlin,for their pathbreaking contribution to the theory of international trade and international capital movements,Ohlin,Bertil,2,1899-04-23,1977,77,Klippan,8/3/1979,FALSE,economics,Sweden,male,SE,Stockholm,Stockholm School of Economics,Sweden
Vicente Aleixandre,"for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars",Aleixandre,Vicente,1,1898-04-26,1977,78,Sevilla,12/14/1984,FALSE,literature,Spain,male,ES,,none,
Rosalyn Yalow,for the development of radioimmunoassays of peptide hormones,Yalow,Rosalyn,2,7/19/1921,1977,55,"New York, NY",5/30/2011,FALSE,medicine,USA,female,US,"Bronx, NY",Veterans Administration Hospital,USA
Roger Guillemin,for their discoveries concerning the peptide hormone production of the brain,Guillemin,Roger,4,1/11/1924,1977,52,Dijon,0000-00-00,TRUE,medicine,France,male,FR,"San Diego, CA",The Salk Institute,USA
Andrew V. Schally,for their discoveries concerning the peptide hormone production of the brain,Schally,Andrew V.,4,11/30/1926,1977,50,Wilno (now Vilnius),0000-00-00,TRUE,medicine,Poland (now Lithuania),male,LT,"New Orleans, LA",Veterans Administration Hospital,USA
Sir Nevill Francis Mott,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,Mott,Sir Nevill Francis,3,9/30/1905,1977,71,Leeds,8/8/1996,FALSE,physics,United Kingdom,male,GB,Cambridge,Cambridge,United Kingdom
John Hasbrouck van Vleck,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,van Vleck,John Hasbrouck,3,1899-03-13,1977,77,"Middletown, CT",10/27/1980,FALSE,physics,USA,male,US,"Cambridge, MA",Harvard,USA
Philip Warren Anderson,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,Anderson,Philip Warren,3,12/13/1923,1977,53,"Indianapolis, IN",0000-00-00,TRUE,physics,USA,male,US,"Murray Hill, NJ",Bell Telephone Laboratories,USA
Peter D. Mitchell,for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory,Mitchell,Peter D.,1,9/29/1920,1978,57,Mitcham,4/10/1992,FALSE,chemistry,United Kingdom,male,GB,Bodmin,Glynn Research Laboratories,United Kingdom
Herbert A. Simon,for his pioneering research into the decision-making process within economic organizations,Simon,Herbert A.,1,6/15/1916,1978,61,"Milwaukee, WI",2/9/2001,FALSE,economics,USA,male,US,"Pittsburgh, PA",Carnegie Mellon University,USA
Isaac Bashevis Singer,"for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life",Singer,Isaac Bashevis,1,7/14/1904,1978,73,Leoncin,7/24/1991,FALSE,literature,Russian Empire (now Poland),male,PL,,none,
Werner Arber,for the discovery of restriction enzymes and their application to problems of molecular genetics,Arber,Werner,3,6/3/1929,1978,48,Gränichen,0000-00-00,TRUE,medicine,Switzerland,male,CH,Basel,Biozentrum der Universität,Switzerland
Hamilton O. Smith,for the discovery of restriction enzymes and their application to problems of molecular genetics,Smith,Hamilton O.,3,8/23/1931,1978,46,"New York, NY",0000-00-00,TRUE,medicine,USA,male,US,"Baltimore, MD",Johns Hopkins University School of Medicine,USA
Daniel Nathans,for the discovery of restriction enzymes and their application to problems of molecular genetics,Nathans,Daniel,3,10/30/1928,1978,49,"Wilmington, DE",11/16/1999,FALSE,medicine,USA,male,US,"Baltimore, MD",Johns Hopkins University School of Medicine,USA
Menachem Begin,,Begin,Menachem,2,8/16/1913,1978,64,Brest Litovsk,3/9/1992,FALSE,peace,Russian Empire (now Belarus),male,BY,,none,
Mohamed Anwar al-Sadat,,al-Sadat,Mohamed Anwar,2,12/25/1918,1978,59,Mit Abu al-Kawm,10/6/1981,FALSE,peace,Egypt,male,EG,,none,
Arno Allan Penzias,for their discovery of cosmic microwave background radiation,Penzias,Arno Allan,4,4/26/1933,1978,44,Munich,0000-00-00,TRUE,physics,Germany,male,DE,"Holmdel, NJ",Bell Laboratories,USA
Robert Woodrow Wilson,for their discovery of cosmic microwave background radiation,Wilson,Robert Woodrow,4,1/10/1936,1978,41,"Houston, TX",0000-00-00,TRUE,physics,USA,male,US,"Holmdel, NJ",Bell Laboratories,USA
Pyotr Leonidovich Kapitsa,for his basic inventions and discoveries in the area of low-temperature physics,Kapitsa,Pyotr Leonidovich,2,1894-07-09,1978,83,Kronshtadt,4/8/1984,FALSE,physics,Russian Empire (now Russia),male,RU,Moscow,Academy of Sciences,USSR
Georg Wittig,"for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis",Wittig,Georg,2,1897-06-16,1979,81,Berlin,8/26/1987,FALSE,chemistry,Germany,male,DE,Heidelberg,University of Heidelberg,Federal Republic of Germany
Herbert C. Brown,"for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis",Brown,Herbert C.,2,5/22/1912,1979,66,London,12/19/2004,FALSE,chemistry,United Kingdom,male,GB,"West Lafayette, IN",Purdue University,USA
Sir Arthur Lewis,for their pioneering research into economic development research with particular consideration of the problems of developing countries,Lewis,Sir Arthur,2,1/23/1915,1979,63,Castries,6/15/1991,FALSE,economics,British West Indies (now Saint Lucia),male,LC,"Princeton, NJ",Princeton University,USA
Theodore W. Schultz,for their pioneering research into economic development research with particular consideration of the problems of developing countries,Schultz,Theodore W.,2,4/30/1902,1979,76,"Arlington, SD",2/26/1998,FALSE,economics,USA,male,US,"Chicago, IL",University of Chicago,USA
Odysseus Elytis,"for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness",Elytis,Odysseus,1,11/2/1911,1979,67,Iráklion,3/18/1996,FALSE,literature,Crete (now Greece),male,GR,,none,
Allan M. Cormack,for the development of computer assisted tomography,Cormack,Allan M.,2,2/23/1924,1979,54,Johannesburg,5/7/1998,FALSE,medicine,South Africa,male,ZA,"Medford, MA",Tufts University,USA
Godfrey N. Hounsfield,for the development of computer assisted tomography,Hounsfield,Godfrey N.,2,8/28/1919,1979,59,Newark,8/12/2004,FALSE,medicine,United Kingdom,male,GB,London,"Central Research Laboratories, EMI",United Kingdom
Mother Teresa ,,,Mother Teresa,1,8/26/1910,1979,68,Uskup (now Skopje),9/5/1997,FALSE,peace,Ottoman Empire (now Republic of Macedonia),female,MK,,none,
Sheldon Lee Glashow,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",Glashow,Sheldon Lee,3,12/5/1932,1979,46,"New York, NY",0000-00-00,TRUE,physics,USA,male,US,"Cambridge, MA",Harvard,USA
Steven Weinberg,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",Weinberg,Steven,3,5/3/1933,1979,45,"New York, NY",0000-00-00,TRUE,physics,USA,male,US,"Cambridge, MA",Harvard,USA
Abdus Salam,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",Salam,Abdus,3,1/29/1926,1979,52,Jhang Maghi&#257;na,11/21/1996,FALSE,physics,India (now Pakistan),male,PK,Trieste,International Centre for Theoretical Physics,Italy
Frederick Sanger,for their contributions concerning the determination of base sequences in nucleic acids,Sanger,Frederick,4,8/13/1918,1980,61,Rendcombe,11/19/2013,FALSE,chemistry,United Kingdom,male,GB,Cambridge,Cambridge,United Kingdom
Walter Gilbert,for their contributions concerning the determination of base sequences in nucleic acids,Gilbert,Walter,4,3/21/1932,1980,47,"Boston, MA",0000-00-00,TRUE,chemistry,USA,male,US,"Cambridge, MA",Harvard,USA
Paul Berg,"for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA",Berg,Paul,2,6/30/1926,1980,53,"New York, NY",0000-00-00,TRUE,chemistry,USA,male,US,"Stanford, CA",Stanford,USA
Lawrence R. Klein,for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies,Klein,Lawrence R.,1,9/14/1920,1980,59,"Omaha, NE",10/20/2013,FALSE,economics,USA,male,US,"Philadelphia, PA",University of Pennsylvania,USA
Czeslaw Milosz,who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts,Milosz,Czeslaw,1,6/30/1911,1980,68,&#346;eteniai,8/14/2004,FALSE,literature,Russian Empire (now Lithuania),male,LT,,none,
Baruj Benacerraf,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,Benacerraf,Baruj,3,10/29/1920,1980,59,Caracas,8/2/2011,FALSE,medicine,Venezuela,male,VE,"Boston, MA",Harvard,USA
George D. Snell,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,Snell,George D.,3,12/19/1903,1980,76,"Bradford, MA",6/6/1996,FALSE,medicine,USA,male,US,"Bar Harbor, ME",Jackson Laboratory,USA
Jean Dausset,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,Dausset,Jean,3,10/19/1916,1980,63,Toulouse,6/6/2009,FALSE,medicine,France,male,FR,Paris,"Université de Paris, Laboratoire Immuno-Hématologie",France
Adolfo Pérez Esquivel,,Pérez Esquivel,Adolfo,1,11/26/1931,1980,48,Buenos Aires,0000-00-00,TRUE,peace,Argentina,male,AR,,none,
Val Logsdon Fitch,for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons,Fitch,Val Logsdon,2,3/10/1923,1980,56,"Merriman, NE",2/5/2015,FALSE,physics,USA,male,US,"Princeton, NJ",Princeton University,USA
James Watson Cronin,for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons,Cronin,James Watson,2,9/29/1931,1980,48,"Chicago, IL",0000-00-00,TRUE,physics,USA,male,US,"Chicago, IL",University of Chicago,USA
Kenichi Fukui,"for their theories, developed independently, concerning the course of chemical reactions",Fukui,Kenichi,2,10/4/1918,1981,62,Nara,1/9/1998,FALSE,chemistry,Japan,male,JP,Kyoto,Kyoto University,Japan
Roald Hoffmann,"for their theories, developed independently, concerning the course of chemical reactions",Hoffmann,Roald,2,7/18/1937,1981,43,Zloczov,0000-00-00,TRUE,chemistry,Poland (now Ukraine),male,UA,"Ithaca, NY",Cornell University,USA
James Tobin,"for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices",Tobin,James,1,3/5/1918,1981,62,"Champaign, IL",3/11/2002,FALSE,economics,USA,male,US,"New Haven, CT",Yale University,USA
Elias Canetti,"for writings marked by a broad outlook, a wealth of ideas and artistic power",Canetti,Elias,1,7/25/1905,1981,75,Ruse,8/14/1994,FALSE,literature,Bulgaria,male,BG,,none,
Roger W. Sperry,for his discoveries concerning the functional specialization of the cerebral hemispheres,Sperry,Roger W.,2,8/20/1913,1981,67,"Hartford, CT",4/17/1994,FALSE,medicine,USA,male,US,"Pasadena, CA",Caltech,USA
Torsten N. Wiesel,for their discoveries concerning information processing in the visual system,Wiesel,Torsten N.,4,6/3/1924,1981,56,Uppsala,0000-00-00,TRUE,medicine,Sweden,male,SE,"Boston, MA",Harvard,USA
David H. Hubel,for their discoveries concerning information processing in the visual system,Hubel,David H.,4,2/27/1926,1981,54,"Windsor, ON",9/22/2013,FALSE,medicine,Canada,male,CA,"Boston, MA",Harvard,USA
Arthur Leonard Schawlow,for their contribution to the development of laser spectroscopy,Schawlow,Arthur Leonard,4,5/5/1921,1981,59,"Mount Verno, NY",4/28/1999,FALSE,physics,USA,male,US,"Stanford, CA",Stanford,USA
Kai M. Siegbahn,for his contribution to the development of high-resolution electron spectroscopy,Siegbahn,Kai M.,2,4/20/1918,1981,62,Lund,7/20/2007,FALSE,physics,Sweden,male,SE,Uppsala,Uppsala University,Sweden
Nicolaas Bloembergen,for their contribution to the development of laser spectroscopy,Bloembergen,Nicolaas,4,3/11/1920,1981,60,Dordrecht,0000-00-00,TRUE,physics,the Netherlands,male,NL,"Cambridge, MA",Harvard,USA
Aaron Klug,for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes,Klug,Aaron,1,8/11/1926,1982,55,Zelvas,0000-00-00,TRUE,chemistry,Lithuania,male,LT,Cambridge,MRC Laboratory of Molecular Biology,United Kingdom
George J. Stigler,"for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation",Stigler,George J.,1,1/17/1911,1982,70,"Renton, WA",12/1/1991,FALSE,economics,USA,male,US,"Chicago, IL",University of Chicago,USA
Gabriel García Márquez,"for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts",García Márquez,Gabriel,1,3/6/1927,1982,54,Aracataca,4/17/2014,FALSE,literature,Colombia,male,CO,,none,
Sune K. Bergström,for their discoveries concerning prostaglandins and related biologically active substances,Bergström,Sune K.,3,1/10/1916,1982,65,Stockholm,8/15/2004,FALSE,medicine,Sweden,male,SE,Stockholm,Karolinska Institutet,Sweden
Bengt I. Samuelsson,for their discoveries concerning prostaglandins and related biologically active substances,Samuelsson,Bengt I.,3,5/21/1934,1982,47,Halmstad,0000-00-00,TRUE,medicine,Sweden,male,SE,Stockholm,Karolinska Institutet,Sweden
John R. Vane,for their discoveries concerning prostaglandins and related biologically active substances,Vane,John R.,3,3/29/1927,1982,54,Tardebigg,11/19/2004,FALSE,medicine,United Kingdom,male,GB,Beckenham,The Wellcome Research Laboratories,United Kingdom
Alva Myrdal,,Myrdal,Alva,2,1/31/1902,1982,79,Uppsala,2/1/1986,FALSE,peace,Sweden,female,SE,,none,
Alfonso García Robles,,García Robles,Alfonso,2,3/20/1911,1982,70,Zamora,9/2/1991,FALSE,peace,Mexico,male,MX,,none,
Kenneth G. Wilson,for his theory for critical phenomena in connection with phase transitions,Wilson,Kenneth G.,1,6/8/1936,1982,45,"Waltham, MA",6/15/2013,FALSE,physics,USA,male,US,"Ithaca, NY",Cornell University,USA
Henry Taube,"for his work on the mechanisms of electron transfer reactions, especially in metal complexes",Taube,Henry,1,11/30/1915,1983,67,Neudorf,11/16/2005,FALSE,chemistry,Canada,male,CA,"Stanford, CA",Stanford,USA
Gerard Debreu,for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium,Debreu,Gerard,1,7/4/1921,1983,61,Calais,12/31/2004,FALSE,economics,France,male,FR,"Berkeley, CA",University of California,USA
William Golding,"for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today",Golding,William,1,9/19/1911,1983,71,St. Columb Minor,6/19/1993,FALSE,literature,United Kingdom,male,GB,,none,
Barbara McClintock,for her discovery of mobile genetic elements,McClintock,Barbara,1,6/16/1902,1983,80,"Hartford, CT",9/2/1992,FALSE,medicine,USA,female,US,"Cold Spring Harbor, NY",Cold Spring Harbor Laboratory,USA
Lech Walesa,,Walesa,Lech,1,9/29/1943,1983,39,Popowo,0000-00-00,TRUE,peace,Poland,male,PL,,none,
William Alfred Fowler,for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe,Fowler,William Alfred,2,8/9/1911,1983,71,"Pittsburgh, PA",3/14/1995,FALSE,physics,USA,male,US,"Pasadena, CA",Caltech,USA
Subramanyan Chandrasekhar,for his theoretical studies of the physical processes of importance to the structure and evolution of the stars,Chandrasekhar,Subramanyan,2,10/19/1910,1983,72,Lahore,8/21/1995,FALSE,physics,India (now Pakistan),male,PK,"Chicago, IL",University of Chicago,USA
Robert Bruce Merrifield,for his development of methodology for chemical synthesis on a solid matrix,Merrifield,Robert Bruce,1,7/15/1921,1984,62,"Fort Worth, TX",5/14/2006,FALSE,chemistry,USA,male,US,"New York, NY",Rockefeller,USA
Richard Stone,for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis,Stone,Richard,1,8/30/1913,1984,70,London,12/6/1991,FALSE,economics,United Kingdom,male,GB,Cambridge,Cambridge,United Kingdom
Jaroslav Seifert,"for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man",Seifert,Jaroslav,1,9/23/1901,1984,82,Prague,1/10/1986,FALSE,literature,Austria-Hungary (now Czech Republic),male,CZ,,none,
Georges J.F. Köhler,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,Köhler,Georges J.F.,3,4/17/1946,1984,37,Munich,3/1/1995,FALSE,medicine,Germany,male,DE,Basel,Basel Institute for Immunology,Switzerland
Niels K. Jerne,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,Jerne,Niels K.,3,12/23/1911,1984,72,London,10/7/1994,FALSE,medicine,United Kingdom,male,GB,Basel,Basel Institute for Immunology,Switzerland
César Milstein,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,Milstein,César,3,10/8/1927,1984,56,Bahia Blanca,3/24/2002,FALSE,medicine,Argentina,male,AR,Cambridge,MRC Laboratory of Molecular Biology,United Kingdom
Desmond Mpilo Tutu,,Tutu,Desmond Mpilo,1,10/7/1931,1984,52,Klerksdorp,0000-00-00,TRUE,peace,South Africa,male,ZA,,none,
Simon van der Meer,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction",van der Meer,Simon,2,11/24/1925,1984,58,the Hague,3/4/2011,FALSE,physics,the Netherlands,male,NL,Geneva,CERN,Switzerland
Carlo Rubbia,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction",Rubbia,Carlo,2,3/31/1934,1984,49,Gorizia,0000-00-00,TRUE,physics,Italy,male,IT,Geneva,CERN,Switzerland
Jerome Karle,for their outstanding achievements in the development of direct methods for the determination of crystal structures,Karle,Jerome,2,6/18/1918,1985,66,"New York, NY",6/6/2013,FALSE,chemistry,USA,male,US,"Washington, DC",US Naval Research Laboratory,USA
Herbert A. Hauptman,for their outstanding achievements in the development of direct methods for the determination of crystal structures,Hauptman,Herbert A.,2,2/14/1917,1985,67,"New York, NY",10/23/2011,FALSE,chemistry,USA,male,US,"Buffalo, NY",The Medical Foundation of Buffalo,USA
Franco Modigliani,for his pioneering analyses of saving and of financial markets,Modigliani,Franco,1,6/18/1918,1985,66,Rome,9/25/2003,FALSE,economics,Italy,male,IT,"Cambridge, MA",MIT,USA
Claude Simon,who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition,Simon,Claude,1,10/10/1913,1985,71,Tananarive (now Antananarivo),7/6/2005,FALSE,literature,Madagascar,male,MG,,none,
Joseph L. Goldstein,for their discoveries concerning the regulation of cholesterol metabolism,Goldstein,Joseph L.,2,4/18/1940,1985,44,"Sumter, SC",0000-00-00,TRUE,medicine,USA,male,US,"Dallas, TX",University of Texas Southwestern Medical Center at Dallas,USA
Michael S. Brown,for their discoveries concerning the regulation of cholesterol metabolism,Brown,Michael S.,2,4/13/1941,1985,43,"New York, NY",0000-00-00,TRUE,medicine,USA,male,US,"Dallas, TX",University of Texas Southwestern Medical Center at Dallas,USA
Klaus von Klitzing,for the discovery of the quantized Hall effect,von Klitzing,Klaus,1,6/28/1943,1985,41,Schroda,0000-00-00,TRUE,physics,German-occupied Poland (now Poland),male,PL,Stuttgart,Max-Planck-Institut für Festkörperforschung,Federal Republic of Germany
John C. Polanyi,for their contributions concerning the dynamics of chemical elementary processes,Polanyi,John C.,3,1/23/1929,1986,56,Berlin,0000-00-00,TRUE,chemistry,Germany,male,DE,Toronto,University of Toronto,Canada
Dudley R. Herschbach,for their contributions concerning the dynamics of chemical elementary processes,Herschbach,Dudley R.,3,6/18/1932,1986,53,"San José, CA",0000-00-00,TRUE,chemistry,USA,male,US,"Cambridge, MA",Harvard,USA
Yuan T. Lee,for their contributions concerning the dynamics of chemical elementary processes,Lee,Yuan T.,3,11/19/1936,1986,49,Hsinchu,0000-00-00,TRUE,chemistry,Taiwan,male,TW,"Berkeley, CA",University of California,USA
James M. Buchanan Jr.,for his development of the contractual and constitutional bases for the theory of economic and political decision-making,Buchanan Jr.,James M.,1,10/3/1919,1986,66,"Murfreesboro, TN",1/9/2013,FALSE,economics,USA,male,US,"Fairfax, VA",Center for Study of Public Choice,USA
Wole Soyinka,who in a wide cultural perspective and with poetic overtones fashions the drama of existence,Soyinka,Wole,1,7/13/1934,1986,51,Abeokuta,0000-00-00,TRUE,literature,Nigeria,male,NG,,none,
Stanley Cohen,for their discoveries of growth factors,Cohen,Stanley,2,11/17/1922,1986,63,"Brooklyn, NY",0000-00-00,TRUE,medicine,USA,male,US,"Nashville, TN",Vanderbilt University School of Medicine,USA
Rita Levi-Montalcini,for their discoveries of growth factors,Levi-Montalcini,Rita,2,4/22/1909,1986,76,Turin,12/30/2012,FALSE,medicine,Italy,female,IT,Rome,Institute of Cell Biology of the C.N.R.,Italy
Elie Wiesel,,Wiesel,Elie,1,9/30/1928,1986,57,Sighet,7/2/2016,FALSE,peace,Romania,male,RO,,none,
Heinrich Rohrer,for their design of the scanning tunneling microscope,Rohrer,Heinrich,4,6/6/1933,1986,52,Buchs,5/16/2013,FALSE,physics,Switzerland,male,CH,Rüschlikon,IBM Zurich Research Laboratory,Switzerland
Gerd Binnig,for their design of the scanning tunneling microscope,Binnig,Gerd,4,7/20/1947,1986,38,Frankfurt-on-the-Main,0000-00-00,TRUE,physics,West Germany (now Germany),male,DE,Rüschlikon,IBM Zurich Research Laboratory,Switzerland
Ernst Ruska,"for his fundamental work in electron optics, and for the design of the first electron microscope",Ruska,Ernst,2,12/25/1906,1986,79,Heidelberg,5/27/1988,FALSE,physics,Germany,male,DE,Berlin,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Federal Republic of Germany
Jean-Marie Lehn,for their development and use of molecules with structure-specific interactions of high selectivity,Lehn,Jean-Marie,3,9/30/1939,1987,47,Rosheim,0000-00-00,TRUE,chemistry,France,male,FR,Strasbourg,Université Louis Pasteur,France
Donald J. Cram,for their development and use of molecules with structure-specific interactions of high selectivity,Cram,Donald J.,3,4/22/1919,1987,67,"Chester, VT",6/17/2001,FALSE,chemistry,USA,male,US,"Los Angeles, CA",University of California,USA
Charles J. Pedersen,for their development and use of molecules with structure-specific interactions of high selectivity,Pedersen,Charles J.,3,10/3/1904,1987,82,Pusan,10/26/1989,FALSE,chemistry,Korea (now South Korea),male,KR,"Wilmington, DE",Du Pont,USA
Robert M. Solow,for his contributions to the theory of economic growth,Solow,Robert M.,1,8/23/1924,1987,62,"Brooklyn, NY",0000-00-00,TRUE,economics,USA,male,US,"Cambridge, MA",MIT,USA
